Date,GOOGL,MSFT,AAPL
2025-10-01,244.89999389648438,519.7100219726562,255.4499969482422
2025-10-02,245.69000244140625,515.739990234375,257.1300048828125
2025-10-03,245.35000610351562,517.3499755859375,258.0199890136719
2025-10-06,250.42999267578125,528.5700073242188,256.69000244140625
2025-10-07,245.75999450683594,523.97998046875,256.4800109863281
2025-10-08,244.6199951171875,524.8499755859375,258.05999755859375
2025-10-09,241.52999877929688,522.4000244140625,254.0399932861328
2025-10-10,236.57000732421875,510.9599914550781,245.27000427246094
2025-10-13,244.14999389648438,514.0499877929688,247.66000366210938
2025-10-14,245.4499969482422,513.5700073242188,247.77000427246094
2025-10-15,251.02999877929688,513.4299926757812,249.33999633789062
2025-10-16,251.4600067138672,511.6099853515625,247.4499969482422
2025-10-17,253.3000030517578,513.5800170898438,252.2899932861328
2025-10-20,256.54998779296875,516.7899780273438,262.239990234375
2025-10-21,250.4600067138672,517.6599731445312,262.7699890136719
2025-10-22,251.69000244140625,520.5399780273438,258.45001220703125
2025-10-23,253.0800018310547,520.5599975585938,259.5799865722656
